Time,A,B,C
2.57037,99,1,2
12.0424,98,2,2
20.7439,97,3,2
27.4738,96,4,2
31.7073,95,5,2
37.4266,94,6,2
39.3152,93,7,2
47.5926,92,8,2
58.1498,91,9,2
58.2596,90,10,2
63.8323,89,11,2
73.8628,88,12,2
84.5783,87,13,2
86.8129,86,14,2
87.4605,85,15,2
88.7472,84,16,2
92.3999,83,17,2
93.9347,82,18,2
99.741,81,19,2
103.587,80,20,2
110.072,79,21,2
116.121,78,22,2
116.585,77,23,2
119.408,76,24,2
121.659,75,25,2
123.141,74,26,2
123.977,73,27,2
124.748,72,28,2
143.28,71,29,2
144.547,70,30,2
147.596,69,31,2
158.374,68,32,2
164.769,67,33,2
179.227,66,34,2
200.541,65,35,2
243.787,64,36,2
268.155,63,37,2
269.397,62,38,2
269.906,61,39,2
273.244,60,40,2
280.217,59,41,2
281.399,58,42,2
286.943,57,43,2
296.553,56,44,2
302.333,55,45,2
303.349,54,46,2
306.429,53,47,2
311.906,52,48,2
316.965,51,49,2
317.245,50,50,2
324.015,49,51,2
342.981,48,52,2
353.624,47,53,2
359.695,46,54,2
364.506,45,55,2
376.563,44,56,2
385.556,43,57,2
387.561,42,58,2
411.208,41,59,2
412.714,40,60,2
448.402,39,61,2
462.362,38,62,2
476.6,37,63,2
488.696,36,64,2
489.342,35,65,2
499.859,34,66,2
515.05,33,67,2
544.488,32,68,2
560.523,31,69,2
581.362,30,70,2
587.154,29,71,2
590.775,28,72,2
625.587,27,73,2
643.823,26,74,2
649.227,25,75,2
680.758,24,76,2
699.931,23,77,2
703.841,22,78,2
741.123,21,79,2
762.051,20,80,2
770.716,19,81,2
793.644,18,82,2
806.631,17,83,2
809.391,16,84,2
846.963,15,85,2
853.992,14,86,2
875.39,13,87,2
1004.66,12,88,2
1053.75,11,89,2
1076.02,10,90,2
1152.24,9,91,2
1198.57,8,92,2
1209.37,7,93,2
1261.69,6,94,2
1302.82,5,95,2
1549.51,4,96,2
1608.22,3,97,2
1761.79,2,98,2
2162.49,1,99,2
